t,V,m,h,n
0.0,-65.0,0.0529,0.5961,0.3177
0.01,-65.00003183982527,0.05290133929435711,0.5961000250133176,0.31769995729634654
0.02,-65.00006254107454,0.052902615162747336,0.5961000512800493,0.31769991379423423
0.03,-65.0000921525523,0.05290383045507741,0.5961000787539549,0.31769986952570856
0.04,-65.00012042844516,0.052904970801426886,0.5961001076558639,0.3176998243372948
0.05,-65.000147713381,0.05290605634207336,0.5961001376714407,0.317699778447261
0.06,-65.00017416299235,0.05290709616963173,0.5961001686575915,0.31769973195493745
0.07,-65.00019979804225,0.05290809149372237,0.5961002005934689,0.3176996848747394
0.08,-65.00022463929365,0.05290904352396571,0.5961002334582244,0.31769963722108185
0.09,-65.00024870750953,0.052909953469982125,0.5961002672310102,0.31769958900838
0.1,-65.00027202345284,0.05291082254139204,0.5961003018909783,0.31769954025104913
0.11,-65.0002946078866,0.05291165194781584,0.5961003374172806,0.3176994909635042
0.12,-65.00031648157378,0.05291244289887393,0.5961003737890691,0.3176994411601604
0.13,-65.00033766527734,0.052913196604186724,0.5961004109854959,0.31769939085543286
0.14,-65.00035817976027,0.05291391427337461,0.5961004489857128,0.31769934006373673
0.15,-65.00037804578555,0.052914597116058,0.596100487768872,0.31769928879948706
0.16,-65.00039728411616,0.05291524634185729,0.5961005273141251,0.31769923707709913
0.17,-65.00041591551508,0.05291586316039288,0.5961005676006247,0.317699184910988
0.18,-65.00043396074527,0.05291644878128519,0.5961006086075221,0.3176991323155688
0.19,-65.00045144056973,0.0529170044141546,0.5961006503139697,0.3176990793052567
0.2,-65.00046837575144,0.05291753126862152,0.5961006926991195,0.31769902589446675
0.21,-65.00048478705335,0.052918030554306356,0.5961007357421233,0.3176989720976142
0.22,-65.00050069523847,0.05291850348082951,0.5961007794221332,0.31769891792911414
0.23,-65.00051612106977,0.05291895125781137,0.5961008237183012,0.3176988634033817
0.24,-65.0005310853102,0.052919375094872365,0.5961008686097791,0.317698808534832
0.25,-65.00054560872277,0.05291977620163287,0.596100914075719,0.3176987533378802
0.26,-65.00055971207047,0.0529201557877133,0.5961009600952729,0.31769869782694143
0.27,-65.00057341611625,0.05292051506273406,0.5961010066475928,0.3176986420164307
0.28,-65.00058674162311,0.05292085523631555,0.5961010537118306,0.3176985859207635
0.29,-65.000599709354,0.05292117751807817,0.5961011012671384,0.31769852955435457
0.3,-65.00061234007192,0.052921483117642325,0.5961011492926681,0.3176984729316193
0.31,-65.00062465453985,0.052921773244628406,0.5961011977675718,0.31769841606697263
0.32,-65.00063667352075,0.05292204910865683,0.5961012466710012,0.3176983589748299
0.33,-65.00064841777763,0.052922311919347986,0.5961012959821085,0.3176983016696061
0.34,-65.00065988147671,0.05292256131890646,0.5961013457049757,0.3176982441483124
0.35,-65.00067091766532,0.052922788615985886,0.5961013959758217,0.31769818631578456
0.36,-65.00068173617474,0.05292300615477781,0.5961014465961831,0.3176981283105172
0.37,-65.00069234081502,0.05292321415387083,0.5961014975606983,0.31769807013615364
0.38,-65.00070273539623,0.052923412831853575,0.596101548864005,0.3176980117963371
0.39,-65.00071292372843,0.05292360240731465,0.5961016005007413,0.31769795329471057
0.4,-65.00072290962167,0.052923783098842665,0.5961016524655456,0.3176978946349173
0.41,-65.00073269688602,0.05292395512502626,0.5961017047530554,0.3176978358206006
0.42,-65.00074228933154,0.05292411870445403,0.5961017573579089,0.3176977768554036
0.43,-65.00075169076828,0.0529242740557146,0.5961018102747442,0.31769771774296934
0.44,-65.00076090500632,0.05292442139739659,0.5961018634981994,0.31769765848694104
0.45,-65.00076993585569,0.0529245609480886,0.5961019170229125,0.31769759909096207
0.46,-65.00077878712646,0.05292469292637927,0.5961019708435215,0.3176975395586754
0.47,-65.00078746262871,0.052924817550857185,0.5961020249546642,0.31769747989372427
0.48,-65.00079596617249,0.05292493504011099,0.596102079350979,0.3176974200997519
0.49,-65.00080430156784,0.05292504561272928,0.5961021340271038,0.3176973601804014
